	en	fr	es	el	it	ar	de
AUTHCARD_EXPLANATION_TEXT	Why register ? Due to the high computer load, the use of this feature is restricted to journalists, fact-checkers and researchers. You need to register first and once your registration has been approved, you will be able to request the access code to use the advanced tools. We DO NOT store personal data and will NOT use your email for any other purpose. In case of problem, use the feedback button.	Pourquoi s'enregistrer ? En raison de la charge informatique élevée, l'utilisation de ce module est réservée aux journalistes, aux fact-checkers et aux chercheurs. Vous devez d'abord vous inscrire et, une fois votre inscription approuvée, vous pourrez demander le code d'accès pour utiliser les outils avancés. Nous ne stockons pas de données personnelles et votre adresse mail ne sera pas utilisée en dehors de ce service. En cas de problème, utilisez le bouton de Feedback.	¿Por que registrarse? Debido a la alta carga informática, el uso de este modulo está limitado a los periodistas, verificadores e investigadores. Es necesario registrarse primero y una vez que su registro haya sido aprobado, podrá solicitar un código de acceso para utilizar las herramientas avanzadas. No hacemos uso de sus datos personales o de su correo fuera de este servicio. En caso de problema, utilice el botón de feedback.	Γιατί να εγγραφείτε; Για να αποκτήσετε πρόσβαση σε αυτή την υπηρεσία, θα πρέπει να εγγραφείτε. Πρέπει πρώτα να εγγραφείτε και μόλις εγκριθεί η εγγραφή σας, θα μπορέσετε να ζητήσετε τον κωδικό πρόσβασης για να χρησιμοποιήσετε τα προηγμένα εργαλεία. Στη συνέχεια θα μπορείτε να ζητήσετε έναν κωδικό πρόσβασης για να συνδεθείτε. Σε περίπτωση προβλήματος, χρησιμοποιήστε το κουμπί ανατροφοδότησης.	Perché registrarsi? A causa del carico informatico elevato, l'uso di questa funzione è limitato a giornalisti, factcheckers e ricercatori. È necessario registrarsi prima e una volta che la registrazione è stata approvata, sarai in grado di richiedere il codice di accesso per utilizzare gli strumenti avanzati. Non memorizziamo dati personali e non si utilizzerà la tua e-mail per nessun altro scopo. In caso di problemi, utilizzare il pulsante Feedback.	لماذا التسجيل؟ بسبب ارتفاع تحميل الكمبيوتر، يقتصر استخدام هذه الميزة على الصحفيين ومدققي المعلومات والباحثين. تحتاج إلى التسجيل أولاً وبمجرد الموافقة على التسجيل الخاص بك، ستتمكن من طلب رمز الوصول لاستخدام الأدوات المتقدمة. نحن لا نقوم بتخزين البيانات الشخصية ولن نستخدم بريدك الإلكتروني لأي غرض آخر. في حال حصول أي مشكلة، استخدم زر التغذية المرتدة.	Warum registrieren? Aufgrund der hohen Computerbelastung beschränkt sich die Verwendung dieser Funktion auf Journalistinnen und Journalisten sowie Forschende. Nach der Registrierung und der Überprüfung Ihrer Anmeldung können Sie eine Zugriffscode anfordern, mit dem Sie die erweiterten Werkzeuge nutzen können. Wir speichern keine personenbezogenen Daten und verwenden Ihre E-Mail nicht für einen anderen Zweck. Verwenden Sie bei Problemen die Feedback-Taste.
REGISTRATIONFORM_TITLE	Not already registered? Register for an access to the service:	Pas encore de compte ? Demandez un accès au service:	No se ha registrado? Registrese para acceder al servicio:	Δεν έχετε εγγραφεί; Εγγραφείτε για πρόσβαση στην υπηρεσία:	Non sei già registrato? Registrati per un accesso al servizio:	لم يتم تسجيلها بالفعل؟ سجل للوصول إلى الخدمة:	Nicht schon registriert? Registrieren Sie sich für einen Zugriff auf den Dienst:
REGISTRATIONFORM_EMAIL_LABEL	Email	Courriel	Correo electrónico	Ηλεκτρονική διεύθυνση	E-mail	البريد الإلكتروني	Email
REGISTRATIONFORM_EMAIL_PLACEHOLDER	Enter your email address	Saisissez votre adresse de courrier électronique	Introduzca su dirección de correo electrónico	Εισάγετε τη διευθύνση του ηλεκτρονικού ταχυδρομείου σας	Inserisci il tuo indirizzo email	أدخل عنوان بريدك الالكتروني	Geben sie ihre E-Mailadresse ein
REGISTRATIONFORM_EMAIL_ERR_REQUIRED	Email address is required	Veuillez saisir une adresse de courrier électronique	Se requiere una dirección de correo electrónico	Απαιτείται διεύθυνση ηλεκτρονικού ταχυδρομείου	L'indirizzo email è richiesto	عنوان البريد الإلكتروني مطلوب	E-Mailadresse wird benötigt
REGISTRATIONFORM_EMAIL_ERR_EMAIL	Email address must be valid	L'adresse email est invalide	La dirección de correo electrónico debe ser válido	Η διεύθυνση ηλεκτρονικού ταχυδρομείου πρέπει να είναι έγκυρη	L'indirizzo email deve essere valido	يجب أن يكون عنوان البريد الإلكتروني صالحًا	Die E -Mail -Adresse muss gültig sein
REGISTRATIONFORM_FIRSTNAME_LABEL	First name	Prénom	Nombre	Ονομα	Nome	الاسم الاول	Vorname
REGISTRATIONFORM_FIRSTNAME_PLACEHOLDER	Enter your first name	Saisissez votre prénom	Ponga su nombre	Πληκτρολογήστε το όνομα σας	Inserisci il tuo nome	أدخل اسمك الأول	Geben Sie Ihren Vornamen ein
REGISTRATIONFORM_FIRSTNAME_ERR_REQUIRED	First name is required	Veuillez saisir votre prénom	Se requiere el nombre	Απαιτείται όνομα	Il nome è richiesto	الإسم الأول مطلوب	Vorname ist erforderlich
REGISTRATIONFORM_LASTNAME_LABEL	Last name	Nom	Apellido(s)	Επίθετο	Cognome	الاسم الأخير	Familienname, Nachname
REGISTRATIONFORM_LASTNAME_PLACEHOLDER	Enter your last name	Saisissez votre nom	Introduzca su apellido	Πληκτρολογήστε το επώνυμό σας	Inserire il cognome	أدخل اسمك الأخير	Geben Sie Ihren Nachnamen ein
REGISTRATIONFORM_LASTNAME_ERR_REQUIRED	Last name is required	Veuillez saisir votre nom	Se requiere el apellido	Απαιτείται επώνυμο	È richiesto il cognome	إسم العائلة مطلوب	Nachname ist erforderlich
REGISTRATIONFORM_ORGANIZATION_LABEL	Organization	Organisation	Organización	Οργανισμός	Organizzazione	المؤسسة	Organisation
REGISTRATIONFORM_ORGANIZATION_PLACEHOLDER	Enter your organization name	Saisissez le nom de votre organisation	Introduzca el nombre de la organización	Πληκτρολογήστε το όνομα του οργανισμού σας	Inserisci il nome dell'organizzazione	أدخل اسم مؤسستك	Geben Sie Ihren Organisationsnamen ein
REGISTRATIONFORM_ORGANIZATION_ERR_REQUIRED	Organization is required	Veuillez saisir le nom de votre organisation	Se requiere la organización	Απαιτείται οργανισμός	L'organizzazione è richiesta	اسم المؤسسة مطلوب	Organisation ist erforderlich
REGISTRATIONFORM_ORGANIZATIONROLE_LABEL	Role	Role	Papel	Ρόλος	Ruolo	دور	Rolle
REGISTRATIONFORM_ORGANIZATIONROLE_REPORTER_LABEL	Reporter	Journaliste	Reportero	Δημοσιογράφος	Reporter	مراسل	ReporterIn
REGISTRATIONFORM_ORGANIZATIONROLE_FAKENEWSCHECKER_LABEL	Fact-checker	Fact-checker	Fact-checker	Ελεγκτής ψευδών ειδήσεων	Fact-Checker	مدقق معلومات	FaktencheckerIn
REGISTRATIONFORM_ORGANIZATIONROLE_OTHER_LABEL	Other	Autre	Otro	Άλλο	Altro	آخر	Andere
REGISTRATIONFORM_ORGANIZATIONROLE_PLACEHOLDER	Select your role within organization	Sélectionnez votre role au sein de l'organisation	Seleccione su papel dentro de la organización	Επιλέξτε το ρόλο σας στον οργανισμό	Seleziona il tuo ruolo all'interno dell'organizzazione	حدد دورك داخل المؤسسة	Wählen Sie Ihre Rolle in der Organisation aus
REGISTRATIONFORM_ORGANIZATIONROLE_ERR_REQUIRED	Role within organization is required	Veuillez sélectionner votre role au sein de l'organisation	Precise su papel dentro de la organización	Ο ρόλος εντός του οργανισμού είναι απαραίτητος	È richiesto un ruolo all'interno dell'organizzazione	دورك داخل المؤسسة مطلوب	Rolle innerhalb der Organisation ist erforderlich
REGISTRATIONFORM_ORGANIZATIONROLEOTHER_LABEL	Role (Other)	Role (Autre)	Papel (Otro)	Ρόλος (Άλλο)	Ruolo (altro)	دور (آخر)	Rolle (andere)
REGISTRATIONFORM_ORGANIZATIONROLEOTHER_PLACEHOLDER	Enter your role within organization	Saisissez votre role au sein de l'organisation	Introduzca su papel dentro de la organización	Πληκτρολογήστε το ρόλο σας στον οργανισμό	Inserisci il tuo ruolo all'interno dell'organizzazione	أدخل دورك داخل المؤسسة	Geben Sie Ihre Rolle in der Organisation ein
REGISTRATIONFORM_ORGANIZATIONROLEOTHER_ERR_REQUIRED	Please fill in your role within organization	Veuillez saisir votre role au sein de l'organisation	Por favor, introduzca su papel dentro de la organización	Παρακαλούμε συμπληρώστε το ρόλο σας στον οργανισμό	Si prega di compilare il tuo ruolo all'interno dell'organizzazione	يرجى ملء دورك في المؤسسة	Bitte füllen Sie Ihre Rolle in der Organisation aus
REGISTRATIONFORM_SUBMIT_LABEL	Register	S'enregistrer	Registrarse	Εγγραφή	Registrati	تسجيل	Registrieren
REGISTRATIONFORM_SUCCESS_TEXT	Your registration request has been sent successfully and will be reviewed shortly by our service. You will receive a notification by email once your account is activated.	Nous avons bien reçu votre demande de compte d'accès et allons la traiter dans les plus brefs délais. Vous serez notifié par email lorsque votre compte sera activé.	Su solicitud de registro ha sido enviada con éxito y será revisada en breve. Usted recibirá una notificación por correo electrónico.	Η αίτηση εγγραφής σας έχει σταλεί με επιτυχία και θα ελεγθεί σύντομα από την υπηρεσία μας. Θα λάβετε μια ειδοποίηση μέσω ηλεκτρονικού ταχυδρομείου όταν ενεργοποιηθεί ο λογαριασμός σας.	La tua richiesta di registrazione è stata inviata con successo e verrà rivista a breve dal nostro servizio. Riceverai una notifica via e-mail una volta attivato il tuo account.	تم إرسال طلب التسجيل الخاص بك بنجاح وسيتم مراجعته قريبًا بواسطة خدمتنا. سوف تتلقى إشعارًا عبر البريد الإلكتروني بمجرد تنشيط حسابك.	Ihre Registrierungsanfrage wurde erfolgreich gesendet und wird in Kürze von unserem Service überprüft. Sie erhalten eine Benachrichtigung per E -Mail, sobald Ihr Konto aktiviert ist.
REGISTRATIONFORM_SUCCESS_TITLE	Registration wait for approval	Inscription en attente d'approbation	El registro espera la aprobación	Η εγγραφή περιμένει έγκριση	Registrazione Aspetta l'approvazione	التسجيل ينتظر الموافقة	Registrierungswartung auf die Genehmigung
REGISTRATIONFORM_SUCCESS_RESET_LABEL	New request	Nouvelle demande	Nueva solicitud	Νέο αίτημα	Nuova richiesta	طلب جديد	Neue Anfrage
ACCESSCODEFORM_TITLE	Already registered? Get an access code:	Déjà inscrit ? Demandez un code d'accès :	¿Ya registrado? Obtener un código de acceso:	Έχετε ήδη εγγραφεί; Πάρτε έναν κωδικό πρόσβασης:	Già registrato? Ottieni un codice di accesso:	مسجل بالفعل؟ احصل على رمز الوصول:	Bereits registriert? Holen Sie sich einen Zugriffscode:
ACCESSCODEFORM_EMAIL_CHECK	Check your email	Vérifiez votre e-mail	Consulte su correo electrónico	Ελέγξτε το email σας	Controlla la tua email	تحقق من بريدك الالكتروني	Check deine E-Mails
ACCESSCODEFORM_EMAIL_LABEL	Email	Email	Correo electrónico	Ηλεκτρονική διεύθυνση	E-mail	البريد الإلكتروني	Email
ACCESSCODEFORM_EMAIL_PLACEHOLDER	Enter your email address	Saisissez votre adresse mail	Introduzca su dirección de correo electrónico	Πληκτρολογήστε τη διευθύνση του ηλεκτρονικού ταχυδρομείου σας	Inserisci il tuo indirizzo email	أدخل عنوان بريدك الالكتروني	Geben sie ihre E-Mailadresse ein
ACCESSCODEFORM_EMAIL_ERR_REQUIRED	Email address is required	Veuillez saisir une addresse mail	Se precisa una dirección de correo electrónico	Απαιτείται διεύθυνση ηλεκτρονικού ταχυδρομείου	L'indirizzo email è richiesto	عنوان البريد الإلكتروني مطلوب	E-Mailadresse wird benötigt
ACCESSCODEFORM_EMAIL_ERR_EMAIL	A valid fact-checking, media or research organization email address is required	Une adresse électronique valide d'un organisme de fact-checking, d'un média ou d'une organisation de recherche est requise.	Se requiere una dirección de correo electrónico válida de una organización de fact-checking, de medios de comunicación o de investigación.	Απαιτείται έγκυρη διεύθυνση ηλεκτρονικού ταχυδρομείου οργανισμού ελέγχου γεγονότων, μέσων ενημέρωσης ή έρευνας	È richiesto un valido indirizzo di controllo dei fatti, media o organizzazione di ricerca	مطلوب عنوان بريد إلكتروني صالح لمؤسسة تدقيق معلومات أو وسيلة اعلامية أو منظمة البحث	Eine gültige E-Mail-Adresse (für Medien oder Forschungsorganisationen) ist erforderlich
ACCESSCODEFORM_SUBMIT_LABEL	Get an Access Code	Obtenir un code d'accès	Obtener un código de acceso	Πάρτε έναν κωδικό πρόσβασης	Ottieni un codice di accesso	احصل على رمز الوصول	Holen Sie sich einen Zugriffscode
ACCESSCODEFORM_SUCCESS_TEXT	Your access code request has been sent successfully. If your account is valid, you should receive your access code by email in a few minutes.	Nous avons bien reçu votre demande de code d'accès. Si votre compte est actif, vous recevrez votre code par email dans quelques minutes.	Su petición de código de acceso ha sido enviada con éxito. Si su cuenta es válida, debe recibir el código de acceso por correo electrónico en unos pocos minutos.	Το αίτημα σας για κωδικό πρόσβασης έχει σταλεί με επιτυχία. Εάν ο λογαριασμός σας είναι έγκυρος, θα πρέπει να λάβετε τον κωδικό πρόσβασης σας μέσω e-mail μέσα σε λίγα λεπτά.	La tua richiesta di codice di accesso è stata inviata con successo. Se il tuo account è valido, dovresti ricevere il tuo codice di accesso via e-mail in pochi minuti.	تم إرسال طلب رمز الوصول الخاص بك بنجاح. إذا كان حسابك صالحًا، فيجب أن تتلقى رمز الوصول الخاص بك عن طريق البريد الإلكتروني خلال بضع دقائق.	Ihre Zugriffscode -Anfrage wurde erfolgreich gesendet. Wenn Ihr Konto gültig ist, sollten Sie Ihren Zugriffscode in wenigen Minuten per E -Mail erhalten.
ACCESSCODEFORM_SUCCESS_TEXT_SPAM	If you are register and you have not received the code, check the spam folder or go back and review that you introduced the email correctly.	Si vous êtes inscrit et que vous n'avez pas reçu le code, vérifiez le dossier spam ou revenez en arrière et vérifiez que vous avez correctement introduit l'e-mail.	Si está registrado y no ha recibido el código, revise la carpeta de correo no deseado o regrese y revise que introdujo el correo electrónico correctamente.	Εάν είστε εγγεγραμμένοι και δεν έχετε λάβει τον κωδικό, ελέγξτε το φάκελο ανεπιθύμητων μηνυμάτων ή επιστρέψτε και ελέγξτε ότι εισαγάγατε σωστά το email.	Se ti registri e non hai ricevuto il codice, controlla la cartella spam o tornare indietro e verifica che hai introdotto correttamente l'e-mail.	إذا كنت مسجل ولم تتلقى الرمز، فتحقق من مجلد البريد العشوائي أو العودة ومراجعة أنك قمت بتقديم البريد الإلكتروني بشكل صحيح.	Wenn Sie sich registrieren und den Code nicht erhalten haben, überprüfen Sie den SPAM -Ordner oder gehen Sie zurück und überprüfen Sie, ob Sie die E -Mail korrekt eingeführt haben.
ACCESSCODEFORM_SUCCESS_RESET_LABEL	New request	Nouvelle demande	Nueva solicitud	Νέο αίτημα	Nuova richiesta	طلب جديد	Neue Anfrage
LOGINFORM_TITLE	Login using your access code:	S'identifier avec un code d'accès :	Sesión con su código de acceso:	Σύνδεση χρησιμοποιώντας τον κωδικό πρόσβασης σας:	Accedi usando il tuo codice di accesso:	تسجيل الدخول باستخدام رمز الوصول الخاص بك:	Melden Sie sich mit Ihrem Zugriffscode an:
LOGINFORM_ACCESSCODE_LABEL	Access Code	Code d'accès	Código de acceso	Κωδικός πρόσβασης	Codice d'accesso	رمز الوصول مطلوب	Zugangscode
LOGINFORM_ACCESSCODE_PLACEHOLDER	Enter your access code	Saisissez votre code d'accès	Introduzca su código de acceso	Πληκτρολογήστε τον κωδικό πρόσβασης σας	Inserisci il tuo codice di accesso	أدخل رمز الوصول الخاص بك	Geben Sie Ihren Zugriffscode ein
LOGINFORM_ACCESSCODE_ERR_REQUIRED	Access code is required	Veuillez saisir un code d'accès	Se requiere el código de acceso	Κωδικός πρόσβασης απαιτείται	Il codice di accesso è richiesto	رمز الوصول مطلوب	Zugriffscode ist erforderlich
LOGINFORM_SUBMIT_LABEL	Login	S'identifier	Iniciar sesión	Σύνδεση	Login	تسجيل الدخول	Anmeldung
LOGUSER_TEMPLATE	Welcome <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Bonjour <%= user.firstName %> <%= user.lastName %> (<%= user.email %>)	Bienvenido <%= user.firstName%> <%= user.lastName%> (<%= user.email%>)	Καλώς ήρθατε <%= user.firstName%> <%= user.lastName%> (<%= user.email%>)	Benvenuto <% = user.firstName%> <% = user.lastName%> (<% = user.email %>)	مرحبًا <٪ = user.firstName ٪> <٪ = user.lastname ٪> (<٪ = user.email ٪>)	Willkommen < %= user.firstname %> < %= user.lastName %> (< %= user.email %>)
LOGUSER_LOGOUT_LABEL	Logout	Deconnexion	Cerrar sesión	Αποσύνδεση	Disconnettersi	تسجيل الخروج	Ausloggen
AUTHENTICATION_FORM_CLOSE	Close	Fermer	Cerrar	Κλείσε	Chiudere	اغلاق	Schließen
REGISTRATIONFORM_TITLE_WINDOW	Registration	Inscription	Registro	Εγγραφή	Registrazione	تسجيل	Anmeldung
REGISTRATIONFORM_ORGANIZATIONROLE_RESEARCHER_LABEL	Researcher	Chercheur	Investigador	Άλλο	Ricercatore	الباحث	Forscher
