	en	fr	es	el	ro	
aboutsna_most_associated_hashtag	Hashtag graph : this graph outlines the co-reference of hashtags in tweets matching your query and their mutual frequency. By clicking on any hashtag, you can analyse the corresponding tweets.  This feature was inspired from Giglietto, Fabio and Lee, Yenn (2017) 'A hashtag worth a thousand words: Discursive strategies around #JeNeSuisPasCharlie after the 2015 Charlie Hebdo shooting.' Social Media + Society, 3 (1). pp. 1-15.	Ce graphique indique la co-référence des hashtags dans les tweets correspondant à votre requête et leur fréquence mutuelle. En cliquant sur n'importe quel hashtag, vous pouvez analyser les tweets correspondants.  Cette fonction est inspirée de Giglietto, Fabio and Lee, Yenn (2017) "A hashtag worth a thousand words : Discursive strategies around #JeNeSuisPasCharlie after the 2015 Charlie Hebdo shooting". Social Media + Society, 3 (1). pp. 1-15.	Este gráfico muestra la correlación de los hashtags en los tweets que coinciden con su consulta y su frecuencia mutua. Haciendo clic en cualquier hashtag, puedes analizar los tweets correspondientes.  Esta característica se inspiró Giglietto, Fabio and Lee, Yenn (2017) "A hashtag worth a thousand words : Discursive strategies around #JeNeSuisPasCharlie after the 2015 Charlie Hebdo shooting". Social Media + Society, 3 (1). pp. 1-15.	Γράφημα Hashtag: αυτό το γράφημα περιγράφει τη συν-αναφορά των hashtag σε tweets που ταιριάζουν με το ερώτημά σας και την αμοιβαία συχνότητά τους. Κάνοντας κλικ σε οποιοδήποτε hashtag, μπορείτε να αναλύσετε τα αντίστοιχα tweets. Αυτό το χαρακτηριστικό είναι εμπνευσμένο από τους Giglietto, Fabio and Lee, Yenn (2017) «Ένα hashtag που αξίζει χίλιες λέξεις: Συζητητικές στρατηγικές γύρω από το #JeNeSuisPasCharlie μετά τα γυρίσματα του Charlie Hebdo το 2015». Social Media + Society, 3 (1). σελ. 1-15.	Hashtag Graph: Acest grafic conturează co-referința Hashtags în Tweets care se potrivește cu interogarea dvs. și frecvența lor reciprocă. Făcând clic pe orice hashtag, puteți analiza tweeturile corespunzătoare. Această caracteristică a fost inspirată de la Giglietto, Fabio și Lee, Yenn (2017) "o hashtag în valoare de o mie de cuvinte: Strategii discursive în jurul valorii de #jenesuispascharlie după filmarea lui Charlie Hebdo 2015". Social media + societate, 3 (1). pp. 1-15.	
aboutsna_ssgraph	Socio-semantic graph : this 6-mode socio-semantic graph is an attempt to "trace connections" between actants of the network. Actants are both people accounts, hashtags or posts. This feature displays co-references of top unedited retweets, top quoted retweets, top mentions, top replies, top shared hashtags and top urls. This feature is inspired by Hellsten, I and Leydesdorff, L (2017). Automated Analysis of Topic-Actor Networks on Twitter: New approach to the analysis of socio-semantic networks. arXiv:1711.08387v1	Ce graphique socio-sémantique à 6 modes est une tentative de "tracer les connexions" entre les actants du réseau. Les actants sont à la fois des comptes de personnes, des hashtags ou des posts. Cette fonction affiche les références des meilleurs retweets non édités, des meilleurs retweets cités, des meilleures mentions, des meilleures réponses, des meilleurs hashtags partagés et des meilleures urls. Cette fonctionnalité est inspirée de Hellsten, I and Leydesdorff, L (2017). Automated Analysis of Topic-Actor Networks on Twitter: New approach to the analysis of socio-semantic networks. arXiv:1711.08387v1	Este gráfico socio-semántico de 6 modos es un intento de "rastrear las conexiones" entre los actores de la red. Los actores son a la vez cuentas de personas, hashtags o billetes publicados. Esta característica muestra las co-referencias de los principales retweets sin editar, los retweets más citados, las principales menciones, las principales respuestas, los principales hashtags compartidos y las principales urls. Esta característica está inspirada en Hellsten, I and Leydesdorff, L (2017). Automated Analysis of Topic-Actor Networks on Twitter: New approach to the analysis of socio-semantic networks. arXiv:1711.08387v1.	Κοινωνικο-σημασιολογικό γράφημα: αυτό το κοινωνικο-σημασιολογικό γράφημα 6-τρόπων είναι μια προσπάθεια «ανίχνευσης συνδέσεων» μεταξύ των παραγόντων του δικτύου. Οι ηθοποιοί είναι λογαριασμοί ατόμων, hashtag ή δημοσιεύσεις. Αυτή η δυνατότητα εμφανίζει συν-αναφορές για κορυφαία μη επεξεργασμένα retweets, κορυφαία retweets με αναφορές, κορυφαίες αναφορές, κορυφαίες απαντήσεις, κορυφαία κοινόχρηστα hashtag και κορυφαίες διευθύνσεις url. Αυτό το χαρακτηριστικό είναι εμπνευσμένο από τους Hellsten, I και Leydesdorff, L (2017). Αυτοματοποιημένη ανάλυση δικτύων θεμάτων-ηθοποιών στο Twitter: Νέα προσέγγιση στην ανάλυση κοινωνικο-σημασιολογικών δικτύων. arXiv: 1711.08387v1	Graficul socio-semantic: Acest grafic Socio-Semantic de 6 Mod este o încercare de a "urmări conexiunile" între agenții rețelei. Actorii sunt ambii oameni, hashtagi sau posturi. Această caracteristică afișează co-referințele de retweeeturi de top neautorizate, de top citate retweets, mențiuni de top, răspunsuri de top, hashtag-uri comune de top și adrese URL de sus. Această caracteristică este inspirată de Hellsten, I și Leydesdorff, L (2017). Analiza automată a rețelelor de actori de subiect pe Twitter: o nouă abordare a analizei rețelelor socio-semantice. Arxiv: 1711.08387v1.	
aboutsna_wordcloud	World cloud : the wordcloud feature displays automatically the most frequent vocabulary matching your query (getting rid of "stop words"). You can click on any word to see the corresponding tweets or download a svg / png file to illustrate graphically your reports.	La fonction nuage de mots affiche automatiquement le vocabulaire le plus fréquent correspondant à votre requête (en supprimant les "mots vides"). Vous pouvez cliquer sur n'importe quel mot pour voir les tweets correspondants ou télécharger un fichier svg / png pour illustrer graphiquement vos rapports.	La función de nube de palabras muestra automáticamente el vocabulario más frecuente que corresponde a su consulta (eliminando las "palabras de parada"). Puede hacer clic en cualquier palabra para ver los tweets correspondientes o descargar un archivo svg / png para ilustrar gráficamente sus informes.	Παγκόσμιο σύννεφο: η λειτουργία wordcloud εμφανίζει αυτόματα το πιο συνηθισμένο λεξιλόγιο που ταιριάζει με το ερώτημά σας (απαλλαγείτε από "σταματήστε τις λέξεις"). Μπορείτε να κάνετε κλικ σε οποιαδήποτε λέξη για να δείτε τα αντίστοιχα tweets ή να κατεβάσετε ένα αρχείο svg / png για να απεικονίσετε γραφικά τις αναφορές σας.	Cloud World World: caracteristica WordCloud afișează automat cel mai frecvent vocabular care corespunde interogării dvs. (eliminarea cuvintelor de oprire). Puteți face clic pe orice cuvânt pentru a vedea Tweets corespunzător sau pentru a descărca un fișier SVG / PNG pentru a ilustra grafic rapoartele dvs.	
aboutsna_gexf_export	Gephi export : this feature allows you to export a user graph or a socio-semantic graph in gexf format (for Gephi) or to launch the NetworkX WeVerify implementation	Cette fonctionnalité vous permet d'exporter un graphique utilisateur ou un graphique socio-sémantique au format gexf (pour Gephi) ou de lancer l'implémentation de NetworkX de WeVerify	Esta característica le permite exportar un gráfico de usuario o un gráfico socio-semántico en formato gexf (para Gephi) o lanzar la implementación de NetworkX de WeVerify.	Εξαγωγή Gephi: αυτή η δυνατότητα σάς επιτρέπει να εξάγετε ένα γράφημα χρήστη ή ένα κοινωνικο-σημασιολογικό γράφημα σε μορφή gexf (για Gephi) ή να ξεκινήσετε την εφαρμογή NetworkX WeVerify	EXPORTUL GEPHI: Această caracteristică vă permite să exportați un grafic de utilizator sau un grafic socio-semantic în format GEXF (pentru Gefhi) sau pentru a lansa implementarea NetworkX WeGefy	
aboutsna_urls	URLs list : sorted list of urls retrieved within the tweets matching your query. You can select any link and re-launch Twitter SNA to examine the link propagation on Twitter.	Liste triée des urls retrouvées dans les tweets correspondant à votre requête. Vous pouvez sélectionner n'importe quel lien et relancer Twitter SNA pour examiner la propagation du lien sur Twitter.	Lista ordenada de urls recuperadas dentro de los tweets que coinciden con tu consulta. Puedes seleccionar cualquier enlace y relanzar el SNA de Twitter para examinar la propagación del enlace en Twitter.	Λίστα διευθύνσεων URL: ταξινομημένη λίστα διευθύνσεων url που ανακτήθηκαν στα tweets που ταιριάζουν με το ερώτημά σας. Μπορείτε να επιλέξετε οποιονδήποτε σύνδεσμο και να ξεκινήσετε ξανά το Twitter SNA για να εξετάσετε τη διάδοση του συνδέσμου στο Twitter.	Lista de adrese URL: Lista de adrese URL a fost recuperată în Tweets care se potrivește cu interogarea dvs. Puteți selecta orice link și re-lansează Twitter SNA pentru a examina propagarea legăturii pe Twitter.	
aboutcsv_title	What is the CSV reader component ?	Qu'est-ce que le composant lecteur CSV ?	¿Qué es el componente lector de CSV?	Τι είναι το στοιχείο ανάγνωσης CSV?	Care este componenta cititorului CSV?	
aboutcsv_intro	The CSV Reader component, built by the WeVerify EU-funded project (weverify.eu), aims to empower journalists, fact-checkers and researchers in analysing small and medium size disinformation campaigns on Facebook and Instagram by providing them with automated data analysis and visualisation on keywords, hashtags and urls queries.	Le composant CSV Reader, construit par le projet WeVerify financé par l'UE (weverify.eu), vise à donner aux journalistes, aux vérificateurs de faits et aux chercheurs les moyens d'analyser les campagnes de désinformation de petite et moyenne taille sur Facebook et Instagram en leur fournissant une analyse et une visualisation automatisées des données. sur les requêtes de mots-clés, hashtags et URL.	El componente CSV Reader, creado por el proyecto WeVerify financiado por la UE (weverify.eu), tiene como objetivo capacitar a periodistas, verificadores de datos e investigadores en el análisis de campañas de desinformación de tamaño pequeño y mediano en Facebook e Instagram proporcionándoles análisis y visualización de datos automatizados. en consultas de palabras clave, hashtags y urls.	Η συνιστώσα CSV Reader, που δημιουργήθηκε από το έργο που χρηματοδοτείται από την WeVerify (weverify.eu), στοχεύει στην ενδυνάμωση δημοσιογράφων, ελεγκτών γεγονότων και ερευνητών στην ανάλυση καμπανιών παραπληροφόρησης μικρού και μεσαίου μεγέθους στο Facebook και το Instagram, παρέχοντάς τους αυτοματοποιημένη ανάλυση δεδομένων και οπτικοποίηση σε ερωτήματα λέξεων-κλειδιών, hashtag και url.	Componenta cititorului CSV, construită de proiectul finanțat de UE (Weverify.eu), vizează împuternicirea jurnaliștilor, a damelor și cercetătorilor în analizarea campaniilor de dezinformare a dimensiunilor mici și mijlocii pe Facebook și Instagram, oferindu-le analiză automată a datelor și vizualizarea datelor Pe cuvintele cheie, hashtages și interogări de adrese URL.	
aboutcsv_count	Metrics: CSV Reader component provides a cumulative count of likes and shares corresponding to your query	Le composant CSV Reader fournit un nombre cumulé de likes et de partages correspondant à votre requête	El componente CSV Reader proporciona un recuento acumulativo de me gusta y compartidos correspondientes a su consulta	Το στοιχείο CSV Reader παρέχει μια αθροιστική μέτρηση των επισημάνσεων "μου αρέσει" και των μεριδίων που αντιστοιχούν στο ερώτημά σας	Metrics: Componenta cititorului CSV oferă un număr cumulativ de plăcere și acțiuni corespunzătoare interogării dvs.	
aboutcsv_most_RT	Most shares : this pie chart shows the top 20 most shared users, corresponding to your query. You can click on each segment to display the corresponding posts and sort them on each column.	Plus de partages : ce camembert montre les 20 utilisateurs les plus partagés, correspondant à votre requête. Vous pouvez cliquer sur chaque segment pour afficher les publications correspondantes et les trier sur chaque colonne.	Mayoría de acciones: este gráfico circular muestra los 20 usuarios más compartidos, correspondientes a su consulta. Puede hacer clic en cada segmento para mostrar las publicaciones correspondientes y ordenarlas en cada columna.	Οι περισσότερες κοινές χρήσεις: αυτό το γράφημα πίτας εμφανίζει τους 20 πιο κοινόχρηστους χρήστες που αντιστοιχούν στο ερώτημά σας. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τις αντίστοιχες αναρτήσεις και να τις ταξινομήσετε σε κάθε στήλη.	Majoritatea acțiunilor: Această diagramă de pieptene arată primii 20 de utilizatori partajați, corespunzând interogării dvs. Puteți face clic pe fiecare segment pentru a afișa mesajele corespunzătoare și pentru a le sorta pe fiecare coloană.	
aboutcsv_most_liked	Most liked : this pie chart shows the top 20 most liked posts. You can click on each segment to display the corresponding posts and sort them on each column.	Les plus aimés : ce camembert montre les 20 publications les plus aimées. Vous pouvez cliquer sur chaque segment pour afficher les publications correspondantes et les trier sur chaque colonne.	Más me gusta: este gráfico circular muestra las 20 publicaciones con más me gusta. Puede hacer clic en cada segmento para mostrar las publicaciones correspondientes y ordenarlas en cada columna.	Πιο αρέσει: αυτό το γράφημα πίτας εμφανίζει τις 20 πιο δημοφιλείς αναρτήσεις. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τις αντίστοιχες αναρτήσεις και να τις ταξινομήσετε σε κάθε στήλη.	Cei mai plăcute: Această diagramă de pieptene arată primele 20 de posturi cele mai plăcute. Puteți face clic pe fiecare segment pentru a afișa mesajele corespunzătoare și pentru a le sorta pe fiecare coloană.	
aboutcsv_most_active	Most active accounts : this pie chart shows the top 20 most active accounts.You can click on each segment to display the corresponding posts and sort them on each column.	Comptes les plus actifs : ce camembert présente le top 20 des comptes les plus actifs. Vous pouvez cliquer sur chaque segment pour afficher les publications correspondantes et les trier sur chaque colonne.	Cuentas más activas: este gráfico circular muestra las 20 cuentas más activas. Puede hacer clic en cada segmento para mostrar las publicaciones correspondientes y ordenarlas en cada columna.	Οι πιο ενεργοί λογαριασμοί: αυτό το γράφημα πίτας εμφανίζει τους 20 κορυφαίους πιο ενεργούς λογαριασμούς. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τις αντίστοιχες αναρτήσεις και να τις ταξινομήσετε σε κάθε στήλη.	Cele mai multe conturi active: Această diagramă Pie este afișată primele 20 de conturi cele mai active. Puteți face clic pe fiecare segment pentru a afișa mesajele corespunzătoare și pentru a le sorta pe fiecare coloană.	
aboutcsv_most_mentions	Most mentioned accounts : this pie chart shows the top 20 most mentioned accounts.You can click on each segment to display the corresponding posts and sort them on each column.	Comptes les plus cités : ce camembert présente les 20 comptes les plus cités. Vous pouvez cliquer sur chaque segment pour afficher les publications correspondantes et les trier sur chaque colonne.	Cuentas más mencionadas: este gráfico circular muestra las 20 cuentas más mencionadas. Puede hacer clic en cada segmento para mostrar las publicaciones correspondientes y ordenarlas en cada columna.	Λογαριασμοί με τις περισσότερες αναφορές: αυτό το γράφημα πίτας εμφανίζει τους 20 πιο δημοφιλείς λογαριασμούς. Μπορείτε να κάνετε κλικ σε κάθε τμήμα για να εμφανίσετε τις αντίστοιχες αναρτήσεις και να τις ταξινομήσετε σε κάθε στήλη.	Cele mai multe conturi menționate: Această diagramă Pie este afișată primele 20 de conturi menționate. Puteți face clic pe fiecare segment pentru a afișa mesajele corespunzătoare și pentru a le sorta pe fiecare coloană.	
aboutcsv_bubblegraph	Bubblegraph : this graphic shows the top 100 most active accounts by account creation date and by number of followers. The size and colour of nodes reflects the volume of posts matching your query. You can click on any account to see the corresponding posts.	Bubblegraph : ce graphique montre le top 100 des comptes les plus actifs par date de création de compte et par nombre d'abonnés. La taille et la couleur des nœuds reflètent le volume de publications correspondant à votre requête. Vous pouvez cliquer sur n'importe quel compte pour voir les publications correspondantes.	Bubblegraph: este gráfico muestra las 100 cuentas más activas por fecha de creación de la cuenta y por número de seguidores. El tamaño y el color de los nodos reflejan el volumen de publicaciones que coinciden con su consulta. Puede hacer clic en cualquier cuenta para ver las publicaciones correspondientes.	Bubblegraph: αυτό το γράφημα δείχνει τους κορυφαίους 100 πιο ενεργούς λογαριασμούς κατά ημερομηνία δημιουργίας λογαριασμού και κατά αριθμό οπαδών. Το μέγεθος και το χρώμα των κόμβων αντικατοπτρίζει τον όγκο των δημοσιεύσεων που ταιριάζουν με το ερώτημά σας. Μπορείτε να κάνετε κλικ σε οποιονδήποτε λογαριασμό για να δείτε τις αντίστοιχες δημοσιεύσεις.	BUBBLEGRAPH: Acest grafic prezintă primele 100 de conturi cele mai active prin data creării contului și numărul de adepți. Dimensiunea și culoarea nodurilor reflectă volumul de postări care corespund interogării dvs. Puteți face clic pe orice cont pentru a vedea mesajele corespunzătoare.	
