	en	fr	es	el	it	de	ar
twittersna_result_date	Date	Date	Fecha	Ημερομηνία	Data	Datum	التاريخ
twittersna_result_tweet	Tweet	Tweet	Tweet	Tweet	Tweet.	Tweet	التغريدة
twittersna_result_retweet_nb	Retweet number	Nombre de retweets	Candidad de retweets	Αριθμός Retweets	Numero retweet.	Retweet-Nummer	عدد اعادة التغريد
twittersna_result_like_nb	Like number	Nombre de likes	Candidad de ''me gusta''	Αριθμός likes	Come numero.	Wie Nummer	عدد الاعجابات
twittersna_result_hide	Hide	Fermer	Ocultar	Απόκρυψη	Nascondere	Verstecken	إخفاء
twittersna_result_download	Download	Télécharger	Descargar	Λήψη	Scarica	Herunterladen	تحميل
twittersna_result_slected_tweets	Selected Tweets	Tweets selectionnés	Tweets seleccionados	Επιλεγμένα Tweets	Tweet selezionati	Ausgewählte Tweets	التغريدات المختارة
sna_result_selected_posts	Selected Tweets	Tweets selectionnés	Tweets seleccionados	Επιλεγμένα Tweets	Tweet selezionati	Ausgewählte Tweets	التغريدات المختارة
twittersna_result_url_in_tweets	URLs in tweets	URLs dans les tweets	URLs en tweets	URLs στα tweets	URL nei tweet.	URLs in Tweets	الروابط في التغريدات
twittersna_result_go_to	Go to url	Ouvrir le lien	Ir a la pagina	Μετάβαση στη διεύθυνση url	Vai all'URL.	Gehen Sie zur URL	اذهب الى الرابط
twittersna_result_go_to_tweet	Go to tweet	Ouvrir le tweet	Ir a tweet	Μετάβαση στο tweet	Vai a Tweet.	Gehen Sie zum Twittern	اذهب الى التغريدة
twittersna_result_download_png	Download as PNG	Télécharger en tant que PNG	Descargar como PNG	Λήψη ως PNG	Scarica come png.	Als PNG herunterladen	حمّل ك PNG
twittersna_result_download_svg	Download as SVG	Télécharger en tant que SVG	Descargar como SVG	Λήψη ως SVG	Scarica come svg.	Als SVG herunterladen	حمّل ك SVG
twittersna_result_word	Word	Mot	Palabra	Λέξη	Parola	Wort	كملة
twittersna_result_nb_occ	Number of occurrences	Nombre d'occurrences	Cantidad de ocurrencias	Αριθμός εμφανίσεων	Numero di occorrenze	Anzahl der Vorkommen	عدد التكرارات
twittersna_result_entity	Named entity	Entité nommée	Entidad nombrada	Ονομαζόμενη οντότητα	Entità nominata	Benannte Entität	الكيانات المسماة
twittersna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα	Nessun dato disponibile	Keine Daten verfügbar	بيانات غير متوفرة
user_placeholder	user	utilisateur	usuario	χρήστης	utente	Benutzer	مستخدم
twittersna_counting_words	Counting Words	Comptage des mots	Contando palabras	Μέτρηση λέξεων	Contare le parole	Wörter zählen	عد الكلمات
twittersna_fetching_tweets	Fetching tweets	Récupération des tweets	Recuperando tweets	Λήψη tweets	Recupero di tweet.	Tweets abrufen	جلب التغريدات 
twittersna_building_graphs	Building graphs	Construction des graphes	Construyendo el gráfico	Δημιουργία γραφημάτων	Building graphs.	Diagramme erstellen	بناء الرسوم البيانية
twittersna_result_submit_twitter_sna	Submit to Twitter SNA	Envoyer à Twitter SNA	Enviar a Twitter SNA	Υποβολή στο Twitter SNA	Invia a Twitter SNA	An Twitter SNA senden	أرسل إلى تويتر SNA 
twittersna_result_view_graph	View graph	Voir le graphe	Ver el grafo	Προβολή γραφήματος	Visualizza grafico	Diagramm anzeigen	شاهد الرسم البياني
twittersna_no_community	No community detected	Pas de communauté détectée	No se encontro comunidad	Δεν εντοπίστηκε κοινότητα	Nessuna comunità rilevata	Keine Community erkannt	لم يتم الكشف عن مجتمع
twittersna_acd	Account Creation Date	Date de création du compte	Fecha de creación de la cuenta	Ημερομηνία δημιουργίας λογαριασμού	Data di creazione dell'account	Datum der Kontoerstellung	تاريخ انشاء الحساب
twittersna_nb_followers	Number of followers	Nombre d'abonnés	Número de abonados	Αριθμός ακολούθων	Numero di follower.	Anzahl der Follower	عدد المتابعين
disable_cache	Disable cache	Désactiver le cache	Desactivar el caché	απενεργοποίηση προσωρινής μνήμης	Disabilitare la cache	Cache deaktivieren	تعطيل ذاكرة التخزين المؤقت 
twittersna_invalid_credentials	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Informazioni di autenticazione non valide	Ungültige Authentifizierungsinformationen	معلومات المصادقة غير صالحة
twittersna_start	Loading	Chargement	Cargando	Φόρτωση	Caricamento in corso	Wird geladen	تحميل
sna_credibility	Credibility	Crédibilité	Credibilidad	Αξιοπιστία	Credibilità	Glaubwürdigkeit	مصداقية
explanation_keyword	Element to search, it can be a keyword, a URL or a Hashtag	Élément à chercher : mot-clé, URL ou hashtag	Elemento para buscar, puede ser una palabra clave, una URL o un hashtag	Στοιχείο για αναζήτηση, μπορεί να είναι μια λέξη-κλειδί, μια διεύθυνση URL ή ένα hashtag	Elemento da cercare, può essere una parola chiave, un URL o un hashtag	Das zu suchende Element kann ein Schlüsselwort, eine URL oder ein Hashtag sein	عنصر للبحث، يمكن أن يكون كلمة رئيسية أو رابط أو وسم 
explanation_dates	Dates between the tweets were analyzed for the search term indicated	Les dates des tweets ont été analysées pour le terme de recherche indiqué	Las fechas entre los tweets fueron analizadas para el término de búsqueda indicado	Οι ημερομηνίες μεταξύ των Tweets αναλύθηκαν για τον όρο αναζήτησης που υποδεικνύεται	Le date tra i tweet sono state analizzate per il termine di ricerca indicato	Die Daten zwischen den Tweets wurden auf den angegebenen Suchbegriff hin analysiert	تم تحليل التواريخ بين التغريدات لمصطلح البحث المشار إليه
explanation_timezone	Specify the time zone of the dates introduced before	Renseigner le fuseau horaire des dates introduites précédemment	Especifique la zona horaria de las fechas introducidas antes.	Καθορίστε τη ζώνη ώρας των ημερομηνιών που εισάγονται πριν	Specificare il fuso orario delle date introdotte prima	Geben Sie die Zeitzone der zuvor eingeführten Daten an	حدد النطاق الزمني للتواريخ التي تم تقديمها من قبل 
explanation_exclude	Specify words that you don’t want to analyze in the search results	Renseigner les mots que vous ne voulez pas voir analysés dans les résultats de la recherche	Especifique palabras que no desea analizar en los resultados de búsqueda	Καθορίστε λέξεις που δεν θέλετε να αναλύσετε στα αποτελέσματα αναζήτησης	Specifica parole che non vuoi analizzare nei risultati della ricerca	Geben Sie Wörter an, die Sie nicht in den Suchergebnissen analysieren möchten	حدد الكلمات التي لا تريد تحليلها في نتائج البحث
explanation_language	Specify the language in which the tweets are going to be analyzed	Renseigner la langue dans laquelle les tweets seront analysés	Especifique el idioma en el que se analizarán los tweets.	Καθορίστε τη γλώσσα στην οποία θα αναλυθούν τα tweets	Specificare la lingua in cui verranno analizzati i tweet	Geben Sie die Sprache an, in der die Tweets analysiert werden sollen	حدد اللغة التي سيتم تحليل التغريدات بها
explanation_account	Specify the twitter account whose tweets are going to be analyzed	Renseigner le compte Twitter dont vous voulez analyser les tweets	Especifique la cuenta de Twitter cuyos tweets se analizarán	Καθορίστε τον λογαριασμό Twitter του οποίου θα αναλυθούν τα tweets	Specificare il conto Twitter i cui tweet saranno analizzati	Geben Sie den Twitter-Account an, dessen Tweets analysiert werden sollen	حدد حساب تويتر الذي سيتم تحليل تغريداته 
explanation_verified	Specify if you only want to analyze tweets of verified accounts	Renseigner si vous voulez uniquement analyser les comptes vérifiés	Especifique si solo desea analizar tweets de cuentas verificadas	Καθορίστε εάν θέλετε μόνο να αναλύσετε τα tweets των επαληθευμένων λογαριασμών	Specificare se si desidera solo analizzare i tweet dei conti verificati	Geben Sie an, ob Sie nur Tweets verifizierter Konten analysieren möchten	حدد ما إذا كنت تريد فقط تحليل تغريدات الحسابات الموثقة 
explanation_media	Specify the media elements that you want to analyze	Renseigner les éléments média que vous voulez analyser	Especifique los elementos de medios que desea analizar.	Καθορίστε τα στοιχεία πολυμέσων που θέλετε να αναλύσετε	Specificare gli elementi multimediali che si desidera analizzare	Geben Sie die Medienelemente an, die Sie analysieren möchten	حدد عناصر الوسائط التي تريد تحليلها 
explanation_cache	Specify if you want to ignore the caché of the server and process the search as a new one	Renseigner si vous voulez ignorer le cache du server et relancer la requête	Especifique si desea ignorar el Caché del servidor y procese la búsqueda como una nueva	Καθορίστε εάν θέλετε να αγνοήσετε την Caché του διακομιστή και να επεξεργαστείτε την αναζήτηση ως ένα νέο	Specificare se si desidera ignorare il cachio del server ed elaborare la ricerca come nuova	Geben Sie an, ob Sie den Cache des Servers ignorieren und die Suche als neue Suche verarbeiten möchten	حدد ما إذا كنت تريد تجاهل ذاكرة التخزين المؤقت للخادم ومعالجة البحث كخادم جديد
twittersna_searchparameters	Search parameters	Paramètres de recherche	Parámetros de búsqueda	Παράμετροι αναζήτησης	Cerca parametri	Suchparameter	معلمات البحث
twittersna_title_timezone	Time zone of the dates	Fuseau horaire des dates	Zona horaria	Ζώνη ώρας των ημερομηνιών	Fuso orario delle date	Zeitzone der Daten	المنطقة الزمنية للتواريخ
twittersna_title_optional	Optional parameters	Paramètres optionnels	Parámetros opcionales	Προαιρετικές παράμετροι	Parametri facoltativi	Optionale Parameter	معلمات اختيارية 
twittersna_title_words	Words	Mots	Palabras	Λόγια	Parole	Wörter	كلمات
twittersna_title_accounts	Accounts	Comptes	Cuentas	Λογαριασμοί	Conti	Konten	حسابات
twittersna_title_media	Media	Media	Medios	Μεσο ΜΑΖΙΚΗΣ ΕΝΗΜΕΡΩΣΗΣ	Media	Medien	وسائط
twittersna_title_advanced	Advanced tools	Outils avancés	Herramientas avanzadas	Προχωρημένα Εργαλεία	Strumenti avanzati	Erweiterte Tools	أدوات متقدمة
twitter_sna_searchelement	Search element	Chercher un élément	Buscar un elemento	Στοιχείο αναζήτησης	Elemento di ricerca	Suchelement	عنصر بحث
twitter_sna_selectdate	Select a date	Sélectionner une date	Elegir una fecha	Επιλέξτε μια ημερομηνία	Seleziona una data	Wählen Sie ein Datum aus	اختر تاريخاً
twitter_sna_placholder_tweetedby	Twitter account name	Nom de compte Twitter	Nombre de la cuenta de Twitter	Όνομα λογαριασμού Twitter	Nome dell'account Twitter.	Name des Twitter-Kontos	اسم حساب تويتر
bubble_chart_title_index	Bubble chart of most active users	Graphique des comptes les plus actifs	Gráfico de las cuentas más activas	Διάγραμμα φυσαλίδων των πιο ενεργών χρηστών	Grafico a bolle degli utenti più attivi	Blasendiagramm der aktivsten Benutzer	مخطط فقاعي لأكثر المستخدمين نشاطاً
sosem_graph_title2	Socio-semantic graph	Graphe socio-sémantique	Grafo socio-semantico	Κοινωνικο-σημασιολογικό γράφημα	Grafico socio-semantico	Sozio-semantischer Graph	الرسم البياني الاجتماعي الدلالي 
interaction_graph_open	Open	Ouvrir	Abrir	Ανοιξε	Aprire	Offen	افتح
interaction_graph_export	Export	Exporter	Exportar	Εξαγωγή	Esportare	Export	صدر
interaction_graph_open_subtitle	Open in Graph Analysis	Ouvrir dans l'analyse de graphes	Abrir en análisis de grafos	Ανοίξτε την ανάλυση γραφημάτων	Apri nell'analisi del grafico	In Graph Analysis öffnen	افتح تحليل الرسم البياني 
interaction_graph_export_subtitle	gexf format	format GEXF	format GEXF	μορφή gexf	Formato GEXF.	Gexf-Format	تنسيق gexf 
twitter_sna_index	Index	Index	Indice	Δείκτης	Indice	Index	مؤشر
twittersna_title_time	Time	Temps	Tiempo	χρόνος	Volta	Zeit	وقت
twittersna_title_elements	Search elements	Chercher les éléments	Elementos de búsqueda	Στοιχεία αναζήτησης	Elementi di ricerca	Suchelement	عناصر البحث
explanation_allelements	All the elements in this field must appear in the search results	Tous les éléments de cette requête doivent apparaître dans les résultats de la recherche	Todos los elementos en este campo deben aparecer en los resultados de búsqueda	Όλα τα στοιχεία σε αυτό το πεδίο πρέπει να εμφανίζονται στα αποτελέσματα αναζήτησης	Tutti gli elementi in questo campo devono apparire nei risultati della ricerca	Alle Elemente in diesem Feld müssen in den Suchergebnissen erscheinen	يجب أن تظهر جميع العناصر الموجودة في هذا الحقل في نتائج البحث
explanation_anyelements	At least one of the elements of this field must appear in the search results	Au moins un élément de cette requête doit apparaître dans les résultats de la recherche	Al menos uno de los elementos de este campo debe aparecer en los resultados de búsqueda	Τουλάχιστον ένα από τα στοιχεία αυτού του πεδίου πρέπει να εμφανίζεται στα αποτελέσματα αναζήτησης	Almeno uno degli elementi di questo campo deve apparire nei risultati della ricerca	Mindestens eines der Elemente dieses Feldes muss in den Suchergebnissen erscheinen	يجب أن يظهر عنصر واحد على الأقل من هذا الحقل في نتائج البحث
twittersna_field_all	All the elements	Tous les éléments (et)	Todos los elementos (y)	Όλα τα στοιχεία	Tutti gli elementi	Alle Elemente	كل العناصر
twittersna_field_any	Any of the elements	L'un des éléments (ou)	Cualquier elemento (o)	Οποιοδήποτε από τα στοιχεία	Uno qualsiasi degli elementi	Jedes der Elemente	أي من العناصر 
