	en	fr	es	el	it	ar
ct_sna_result_nb_occ	Number of occurrences	Nombre d'occurrences	Cantidad de ocurrencias	Αριθμός εμφανίσεων	Numero di occorrenze	عدد مرات الحدوث
ct_sna_result_entity	Named entity	Entité nommée	Entidad nombrada	Ονομαζόμενη οντότητα	Entità nominata	كيان مسمى
ct_sna_result_download_png	Download as PNG	Télécharger en tant que PNG	Descargar como PNG	Λήψη ως PNG	Scarica come png.	تنزيل بصيغة PNG
ct_sna_result_download_svg	Download as SVG	Télécharger en tant que SVG	Descargar como SVG	Λήψη ως SVG	Scarica come svg.	تنزيل بصيغة SVG
ct_hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Hashtags più associati	الوسوم الأكثر ارتباطاً 
ct_heatmap_chart_title	Heatmap of posts distribution	Heatmap de distribution de messages	Heatmap de la distribución de mensajes	Θερμικός χάρτης της διανομής των δημοσιεύσεων	Heatmap della distribuzione dei post	خريطة توزيع المنشورات 
ct_sosem_4mode_graph_title	Socio-semantic graph (hashtags, URLs, mentions)	Graphe socio-sémantique (hashtags, URLs, mentions, RTs avec commentaire, réponses)	Grafo socio-semantico (hashtags, URLs, mencionados, RTs con comentarios, respuestas)	Κοινωνικο σημασιολογικό γράφημα (hashtag, URLs, αναφορές, RT με σχόλιο, απαντήσεις)	Grafico socio-semantico (hashtags, URL, menzioni)	الرسم البياني الاجتماعي الدلالي (الوسوم، عناوين URL، الإشارات) 
ct_sna_result_url_in_posts	Urls in posts	Urls dans les posts	Urls en posts	Urls στα posts	URL nei post	Urls في المنشورات 
twittersna_result_submit_twitter_sna	Submit to Twitter SNA	Envoyer à Twitter SNA	Enviar a Twitter SNA	Υποβολή στο Twitter SNA	Invia a Twitter SNA	أرسل إلى Twitter SNA 
ct_top_words_cloud_chart_title	Most used words in posts	La plupart des mots utilisés dans les messages	La mayoría de las palabras usadas en los mensajes	Οι περισσότεροι που χρησιμοποιούνται λέξεις δημοσιεύσεις	Le parole più utilizzate nei post	الكلمات الأكثر استخداما في المنشورات 
ct_url	URL	URL	URL	Σύνδεσμος	URL	URL
sna_credibility	Credibility	Crédibilité	Credibilidad	Αξιοπιστία	Credibilità	مصداقية
