	en	fr	es	el	ro
lang_hu	Hungarian	Hongrois	Húngaro	Ούγγρικα	Maghiară
lang_fa	Farsi	Persan	Farsi	Φαρσί	Farsi.
lang_he	Hebrew	Hébreu	Hebreo	Εβραϊκά	Ebraică
lang_ur	Urdu	Ourdou	Urdu	Ουρντού	Urdu.
lang_th	Thai	Thaï	Tailandés	Ταϊλανδέζικα	Thai.
button_submit	Submit	Envoyer	Enviar	Υποβολή	Trimite
default_sna_error	Facebook analysis failed due to an unknown cause.	L'analyse de Facebook a été interrompue pour une raison inconnue.	El análisis de Facebook se ha interrumpido por una causa desconocida.	Η ανάλυση του Facebook απέτυχε λόγω άγνωστης αιτίας.	Analiza Facebook a eșuat din cauza unei cauze necunoscute.
twitterSnaErrorMessage	An error occurred while processing posts	Une erreur est survenue lors du traitement de messages	Se ha producido un error durante el procesamiento de mensajes	Ένα σφάλμα κατά την επεξεργασία των μηνυμάτων	A apărut o eroare în timpul procesării posturilor
top_users_pie_chart_title	Most active users	Utilisateurs les plus actifs	Usuarios más activos	Πιο ενεργοί χρήστες	Cei mai activi utilizatori
mention_cloud_chart_title	Most mentioned accounts	Compte les plus mentionnés	Usuarios más mencionados	Λογαριασμοί που έχουν αναφερθεί πιο πολύ	Cele mai multe conturi menționate
user_time_chart_title	Propagation timeline	Frise chronologique de propagation	Línea de tiempo de propagación	Χρονοδιάγραμμα διάδοσης	Cronologie de propagare
hashtag_graph_title	Most associated hashtags	Hashtags les plus associés	Hashtags más Asociados	Πιο σχετικά hashtag	Cele mai multe hashtags asociate
retweets_cloud_chart_title	Most shared users	Utilisateurs les plus partagés	Usuarios más compartidos	Οι περισσότεροι από κοινού οι χρήστες	Userii cu cele mai multe share-uri
likes_cloud_chart_title	Most liked users	Utilisateurs les plus likés	La mayoría de los usuarios gustado	Χρήστες που εχουν γίνεi περισσότερο like	Utilizatorii cu cele mai multe like-uri
top_words_cloud_chart_title	Most used words in posts	La plupart des mots utilisés dans les messages	La mayoría de las palabras usadas en los mensajes	Οι περισσότεροι που χρησιμοποιούνται λέξεις δημοσιεύσεις	Cele mai utilizate cuvinte în posturi
tweetCounter_title	Logistics	Logistique	logística	Επιμελητεία	Logistică
sosem_graph_title	Socio-semantic graph (hashtags and mentioned users)	Graphe socio-sémantique (hashtags et utilisateurs mentionnés)	Grafo socio-semantico (hashtags y usuarios mencionados)	Κοινωνικο-σημασιολογικό γράφημα (hashtag και αναφερόμενοι χρήστες)	Graficul socio-semantic (hashtags și utilizatori menționați)
sosem_4mode_graph_title	Socio-semantic graph (hashtags, URLs, mentions)	Graphe socio-sémantique (hashtags, URLs, mentions, RTs avec commentaire, réponses)	Grafo socio-semantico (hashtags, URLs, mencionados, RTs con comentarios, respuestas)	Κοινωνικο σημασιολογικό γράφημα (hashtag, URLs, αναφορές, RT με σχόλιο, απαντήσεις)	Graficul socio-semantic (hashtags, URL-uri, mențiuni)
account_creation_date_chart_title	Count of account creation date chart	Graphique des créations de compte	Gráfico de fechas de creación de cuentas	Διάγραμμα των ημερομηνιών δημιουργίας λογαριασμών	Data crearii contului
bubble_chart_title	Bubble chart of top 100 most active accounts	Graphique des 100 comptes les plus actifs	Gráfico de las 100 cuentas más activas	Διάγραμμα φυσαλίδων με τους 100 πιο ενεργούς λογαριασμούς	Graficul de bule de top 100 de conturi cele mai active
user_graph_title	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	ράφημα λογαριασμών χρηστών	Graficul cu conturi de utilizatorilori
export_graph_title	Export Interaction graph (gexf format)	Exporter un graphe des interactions au format Gexf	Exportar el grafo de interacciones en formato Gexf	Εξαγωγή γραφήματος αλληλεπίδρασης (μορφή gexf)	Grafic export interactiuni
heatmap_chart_title	Heatmap of posts distribution	Heatmap de distribution de messages	Heatmap de la distribución de mensajes	Θερμικός χάρτης της διανομής των δημοσιεύσεων	Heatmap de distribuție a posturilor
elastic_url	URL	URL	URL	Σύνδεσμος	URL.
elastic_count	Number	Nombre	Candidad	Αριθμός	Număr
twittersna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη	Nume de utilizator
twittersna_result_date	Date	Date	Fecha	Ημερομηνία	Data
twittersna_result_tweet	Post description	Description du message	Descripción de la publicación	περιγραφή δημοσίευσης	Post descriere
twittersna_result_retweet_nb	Shares	Shares	Shares	Shares	Acțiuni
twittersna_result_like_nb	Likes	Likes	Likes	Likes	Îi place
twittersna_result_hide	Hide	Fermer	Ocultar	Απόκρυψη	Ascunde
twittersna_result_download	Download	Télécharger	Descargar	Λήψη	Descarca
twittersna_result_slected_tweets	Selected posts	Posts selectionnés	Posts seleccionados	Επιλεγμένα posts	Posturi selectate
twittersna_result_url_in_tweets	Urls in posts	Urls dans les posts	Urls en posts	Urls στα posts	URL-uri în posturi
twittersna_result_go_to	Go to url	Ouvrir le lien	Ir a la pagina	Μετάβαση στη διεύθυνση url	Accesați URL.
twittersna_result_go_to_tweet	Go to Link	Ouvrir le Link	Ir a Link	Μετάβαση στο Link	Du-te la link.
twittersna_result_download_png	Download as PNG	Télécharger en tant que PNG	Descargar como PNG	Λήψη ως PNG	Descărcați ca PNG.
twittersna_result_download_svg	Download as SVG	Télécharger en tant que SVG	Descargar como SVG	Λήψη ως SVG	Descărcați ca SVG.
twittersna_result_word	Word	Mot	Palabra	Λέξη	Cuvânt
twittersna_result_nb_occ	Number of occurrences	Nombre d'occurrences	Cantidad de ocurrencias	Αριθμός εμφανίσεων	Numărul de apariții
twittersna_result_entity	Named entity	Entité nommée	Entidad nombrada	Ονομαζόμενη οντότητα	Entitate numita
twittersna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα	Nici o informatie disponibila
user_placeholder	user	utilisateur	usuario	χρήστης	utilizator
twittersna_counting_words	Counting Words	Comptage des mots	Contando palabras	Μέτρηση λέξεων	Numărarea cuvintelor
twittersna_fetching_tweets	Fetching posts	Récupération des posts	Recuperando posts	Λήψη posts	preluarea postarilor
twittersna_building_graphs	Building graphs	Construction des graphes	Construyendo el gráfico	Δημιουργία γραφημάτων	construirea graficelor
twittersna_result_submit_twitter_sna	Submit to Facebook SNA	Envoyer à Facebook SNA	Enviar a Facebook SNA	Υποβολή στο Facebook SNA	Trimiteti la Facebook SNA
twittersna_result_view_graph	View graph	Voir le graphe	Ver el grafo	Προβολή γραφήματος	Vizualizați graficul
twittersna_no_community	No community detected	Pas de communauté détectée	No se encontro comunidad	Δεν εντοπίστηκε κοινότητα	Nu a fost detectată nicio comunitate
twittersna_acd	Account Creation Date	Date de création du compte	Fecha de creación de la cuenta	Ημερομηνία δημιουργίας λογαριασμού	Data crearii contului
twittersna_nb_followers	Number of followers	Nombre d'abonnés	Número de abonados	Αριθμός ακολούθων	Numar de followeri
disable_cache	Disable cache	Désactiver le cache	Desactivar el caché	απενεργοποίηση προσωρινής μνήμης	Dezactiveaza cache-ul
twittersna_invalid_credentials	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Informatii de autentificare invalide
twittersna_start	Loading	Chargement	Cargando	Φόρτωση	Se încarcă
csv_sna_publications	Publications	Publications	Publicaciones	δημοσιεύσεις	Publicații
csv_sna_total_interactions	Total interactions	Total des interactions	Interacciones totales	Σύνολο αλληλεπιδράσεων	Interacțiuni totale
csv_sna_likes	Likes	Likes	Likes	Likes	Like-uri
csv_sna_comments	Comments	Commentaires	Comentarios	Σχόλια	Comentarii
csv_sna_shares	Shares	Shares	Shares	Shares	Share-uri
