	en	fr	es	el	it
account_creation_date_chart_title	Count of account creation date chart	Graphique des créations de compte	Gráfico de fechas de creación de cuentas	Διάγραμμα των ημερομηνιών δημιουργίας λογαριασμών	CGrafico della data di creazione del conto
bubble_chart_title	Bubble chart of top 100 most active accounts	Graphique des 100 comptes les plus actifs	Gráfico de las 100 cuentas más activas	Διάγραμμα φυσαλίδων με τους 100 πιο ενεργούς λογαριασμούς	Grafico dei primi 100 conti più attivi
user_graph_title	User accounts graph	Graphe de comptes utilisateurs	Grafo de cuentas de usuarios	ράφημα λογαριασμών χρηστών	Grafico dei conti  utenti
export_graph_title	Export Interaction graph (gexf format)	Exporter un graphe des interactions au format Gexf	Exportar el grafo de interacciones en formato Gexf	Εξαγωγή γραφήματος αλληλεπίδρασης (μορφή gexf)	Esporta grafico di interazioni (formato GEXF)
heatmap_chart_title	Heatmap of tweets distribution	Cartographie d'activité	Mapa de actividad	Heatmap της διανομής των tweets	Heatmap della distribuzione dei tweet
elastic_url	Url	Url	Url	Σύνδεσμος	URL
elastic_count	Number	Nombre	Candidad	Αριθμός	Numero
twittersna_result_username	Username	Nom d'utilisateur	Nombre de usuario	Όνομα χρήστη	Nome utente
twittersna_result_date	Date	Date	Fecha	Ημερομηνία	Data
twittersna_result_tweet	Tweet	Tweet	Tweet	Tweet	Tweet.
twittersna_result_retweet_nb	Retweet number	Nombre de retweets	Candidad de retweets	Αριθμός Retweets	Numero retweet.
twittersna_result_like_nb	Like number	Nombre de likes	Candidad de ''me gusta''	Αριθμός likes	Numero likes
twittersna_result_hide	Hide	Fermer	Ocultar	Απόκρυψη	Nascondere
twittersna_result_download	Download	Télécharger	Descargar	Λήψη	Scarica
twittersna_result_slected_tweets	Selected Tweets	Tweets selectionnés	Tweets seleccionados	Επιλεγμένα Tweets	Tweet selezionati
twittersna_result_url_in_tweets	Urls in tweets	Urls dans les tweets	Urls en tweets	Urls στα tweets	URL nei tweet.
twittersna_result_go_to	Go to url	Ouvrir le lien	Ir a la pagina	Μετάβαση στη διεύθυνση url	Vai all'URL.
twittersna_result_go_to_tweet	Go to tweet	Ouvrir le tweet	Ir a tweet	Μετάβαση στο tweet	Vai a Tweet.
twittersna_result_download_png	Download as PNG	Télécharger en tant que PNG	Descargar como PNG	Λήψη ως PNG	Scarica come png.
twittersna_result_download_svg	Download as SVG	Télécharger en tant que SVG	Descargar como SVG	Λήψη ως SVG	Scarica come svg.
twittersna_result_word	Word	Mot	Palabra	Λέξη	Parola
twittersna_result_nb_occ	Number of occurrences	Nombre d'occurrences	Cantidad de ocurrencias	Αριθμός εμφανίσεων	Numero di occorrenze
twittersna_result_entity	Named entity	Entité nommée	Entidad nombrada	Ονομαζόμενη οντότητα	Entità nominata
twittersna_no_data	No data available	Aucune donnée disponible	Datos no disponibles	Δεν υπάρχουν διαθέσιμα δεδομένα	Nessun dato disponibile
user_placeholder	user	utilisateur	usuario	χρήστης	utente
twittersna_counting_words	Counting Words	Comptage des mots	Contando palabras	Μέτρηση λέξεων	Contare le parole
twittersna_fetching_tweets	Fetching tweets	Récupération des tweets	Recuperando tweets	Λήψη tweets	Recupero di tweet
twittersna_building_graphs	Building graphs	Construction des graphes	Construyendo el gráfico	Δημιουργία γραφημάτων	Costruire grafici
twittersna_result_submit_twitter_sna	Submit to Twitter SNA	Envoyer à Twitter SNA	Enviar a Twitter SNA	Υποβολή στο Twitter SNA	Invia a Twitter SNA
twittersna_result_view_graph	View graph	Voir le graphe	Ver el grafo	Προβολή γραφήματος	Visualizza grafico
twittersna_no_community	No community detected	Pas de communauté détectée	No se encontro comunidad	Δεν εντοπίστηκε κοινότητα	Nessuna comunità rilevata
twittersna_acd	Account Creation Date	Date de création du compte	Fecha de creación de la cuenta	Ημερομηνία δημιουργίας λογαριασμού	Data di creazione dell'account
twittersna_nb_followers	Number of followers	Nombre d'abonnés	Número de abonados	Αριθμός ακολούθων	Numero di followers
disable_cache	Disable cache	Désactiver le cache	Desactivar el caché	απενεργοποίηση προσωρινής μνήμης	Disabilitare la cache
twittersna_invalid_credentials	Invalid authentication information	Les informations d'authentification ne sont pas valables	La información de autenticación no es válida	Μη έγκυρη πληροφόρηση αυθεντικοποίησης	Informazioni di autenticazione non valide
twittersna_start	Loading	Chargement	Cargando	Φόρτωση	Caricamento in corso
fbinsta_sna_title	Facebook & Instagram CSV analysis	Analyse CSV Facebook et Instagram	Análisis CSV de Facebook e Instagram	Ανάλυση CSV Facebook & Instagram	Analisi CSV di Facebook e Instagram
